0,421,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,65,0,0,0,16,9,11,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0
0,0,0,14,129,108,335,0,46,0,24,6,5,0,16,65,0,0,1,0,6,40,171,131,200,73
0,0,14,0,432,36,22,10,0,0,0,0,0,0,0,43,0,0,0,0,12,6,78,37,84,0
0,0,141,400,0,212,395,13,1,17,18,411,67,100,0,89,0,0,0,22,185,161,399,227,392,162
9,0,152,415,298,0,418,192,347,314,411,11,415,64,361,386,410,374,70,28,426,411,405,396,393,282
2,0,434,78,412,414,0,375,73,67,159,124,155,390,76,414,128,122,102,120,200,153,315,249,262,425
0,0,0,8,3,71,157,0,167,19,3,0,33,12,5,116,0,0,5,0,102,62,7,392,281,41
15,0,45,0,1,49,16,155,0,218,0,0,23,0,0,58,0,69,414,0,2,16,158,102,210,0
0,0,0,0,5,26,10,11,119,0,0,0,0,0,0,5,0,230,5,0,0,18,54,262,30,0
0,0,24,0,14,110,113,1,0,0,0,0,426,0,0,30,30,0,0,0,14,30,158,129,125,84
0,0,0,0,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,19,0
0,0,9,0,18,111,88,23,18,0,406,0,0,0,0,165,0,0,0,0,52,61,47,166,124,24
0,0,0,0,36,7,29,6,0,0,0,0,0,0,0,0,15,0,0,418,9,9,39,72,71,0
0,0,8,0,0,35,26,2,0,0,0,0,0,0,0,69,0,0,0,0,5,8,75,79,24,12
0,0,108,277,328,407,418,415,350,241,326,0,433,18,223,0,50,62,238,429,413,426,406,421,429,403
0,0,0,0,0,4,4,0,0,0,12,0,0,10,0,12,0,0,0,0,0,0,11,22,9,7
0,0,0,0,0,20,10,0,40,242,0,0,0,0,0,26,0,0,14,0,42,7,62,22,53,0
421,0,1,0,0,15,9,3,418,9,0,0,0,0,0,32,0,22,0,0,18,5,89,37,83,1
0,0,0,0,0,0,4,0,0,0,0,0,0,414,0,10,0,0,0,0,1,0,8,12,15,0
0,0,226,60,121,404,135,174,11,10,13,0,60,67,17,419,0,79,58,3,0,242,402,179,395,77
0,0,95,52,91,154,83,108,47,57,75,0,47,44,47,245,0,25,23,0,323,0,399,299,401,257
149,60,419,417,433,427,429,142,417,438,421,419,384,416,417,426,419,419,412,137,430,433,0,427,325,413
162,0,430,157,431,436,422,421,379,413,423,149,417,421,414,411,423,380,239,123,413,378,379,0,278,428
412,147,437,425,440,439,435,424,440,407,440,445,425,409,422,403,206,423,411,440,437,430,401,389,0,423
0,0,175,0,90,234,204,230,0,0,127,0,17,0,53,336,17,0,7,0,69,280,391,359,409,0
